Date,Open,High,Low,Close,Adj Close,Volume
2001-08-01,76.750000,79.949997,67.500000,68.839996,57.347984,101000
2001-09-01,68.599998,69.470001,44.889999,47.950001,39.945339,343000
2001-10-01,47.200001,63.549999,44.900002,58.220001,48.500877,141500
2001-11-01,59.349998,72.000000,59.349998,67.839996,56.514946,2451500
2001-12-01,67.099998,76.400002,64.580002,66.500000,55.398636,455600
2002-01-01,67.900002,75.989998,63.900002,69.339996,57.764507,1125400
2002-02-01,68.949997,70.040001,60.540001,61.700001,51.399948,600800
2002-03-01,63.750000,76.519997,63.750000,71.230003,59.339043,1165500
2002-04-01,70.400002,74.070000,62.580002,64.500000,53.732525,1332100
2002-05-01,64.300003,69.150002,56.849998,59.799999,49.817127,740000
2002-06-01,59.099998,59.099998,44.400002,47.910000,39.912025,1446600
2002-07-01,48.299999,51.549999,38.750000,41.400002,34.488770,812700
2002-08-01,41.099998,45.820000,35.110001,38.000000,31.656374,820700
2002-09-01,37.240002,39.200001,29.080000,29.530001,24.600334,1162200
2002-10-01,30.200001,37.480000,25.850000,36.500000,30.406773,1379500
2002-11-01,36.099998,46.799999,34.759998,45.200001,37.654415,1353900
2002-12-01,47.849998,48.000000,34.060001,34.680000,28.890608,3162400
2003-01-01,35.299999,40.730000,31.709999,33.000000,27.491068,1560900
2003-02-01,33.000000,35.849998,31.420000,35.849998,29.865273,2930300
2003-03-01,36.299999,39.439999,32.910000,34.939999,29.107203,2610600
2003-04-01,35.000000,40.869999,34.709999,39.400002,32.822670,1614600
2003-05-01,39.400002,45.650002,38.750000,45.400002,37.821033,1479600
2003-06-01,46.200001,49.340000,42.299999,43.599998,36.321510,1625900
2003-07-01,43.450001,50.200001,42.750000,48.299999,40.236912,1838500
2003-08-01,48.500000,56.389999,44.860001,56.200001,46.818104,5544800
2003-09-01,56.400002,58.840000,52.060001,52.400002,43.652473,4069200
2003-10-01,52.799999,63.580002,52.400002,62.299999,51.903507,3919000
2003-11-01,63.099998,66.699997,61.349998,65.589996,54.644478,2680900
2003-12-01,66.500000,66.709999,58.259998,62.750000,52.278416,3047800
2004-01-01,63.349998,70.669998,62.759998,65.000000,54.152931,2795900
2004-02-01,65.699997,68.000000,62.250000,64.430000,53.678066,1893100
2004-03-01,64.050003,66.459999,57.130001,61.660000,51.370319,2640600
2004-04-01,62.500000,65.500000,55.160000,55.299999,46.071640,1555200
2004-05-01,55.529999,61.180000,54.349998,61.020000,50.837101,1310500
2004-06-01,60.759998,61.230000,55.419998,59.250000,49.362492,1877400
2004-07-01,58.500000,58.500000,47.520000,50.689999,42.230965,3126800
2004-08-01,50.029999,51.000000,43.700001,45.740002,38.107014,2490900
2004-09-01,45.869999,50.759998,43.730000,48.020000,40.006538,5120000
2004-10-01,48.950001,51.650002,46.919998,50.869999,42.380928,2759200
2004-11-01,50.740002,55.090000,49.820000,52.500000,43.738914,2888000
2004-12-01,52.849998,56.320000,51.619999,53.799999,44.821972,3431800
2005-01-01,54.380001,54.400002,47.130001,49.840000,41.522812,5783900
2005-02-01,49.880001,55.009998,49.419998,53.759998,44.788651,2540500
2005-03-01,54.450001,54.980000,50.130001,50.970001,42.464237,2997700
2005-04-01,51.349998,51.529999,46.689999,48.029999,40.014847,2595300
2005-05-01,48.029999,54.000000,47.750000,53.500000,44.572044,3407500
2005-06-01,53.490002,55.959999,52.560001,52.720001,43.922211,4031400
2005-07-01,53.000000,59.810001,52.630001,58.840000,49.020905,5594800
2005-08-01,58.970001,60.250000,57.020000,58.950001,49.112560,6323800
2005-09-01,58.580002,61.200001,56.910000,59.259998,49.370815,3881200
2005-10-01,59.700001,60.389999,53.270000,55.799999,46.511440,5028700
2005-11-01,55.500000,62.520000,55.029999,61.849998,51.554352,4625400
2005-12-01,62.599998,64.639999,60.480000,60.970001,50.820843,3901900
2006-01-01,61.660000,68.559998,60.730000,66.430000,55.371975,6872900
2006-02-01,66.269997,68.400002,64.339996,64.959999,54.146660,3965200
2006-03-01,65.669998,68.139999,62.580002,65.190002,54.338371,6093700
2006-04-01,65.120003,69.400002,64.830002,66.720001,55.613701,3117000
2006-05-01,66.779999,68.949997,59.070000,60.400002,50.345726,5688100
2006-06-01,60.520000,62.450001,55.220001,57.950001,48.303558,2594300
2006-07-01,58.230000,58.500000,50.790001,55.459999,46.257729,3837300
2006-08-01,54.799999,61.070000,53.830002,60.450001,50.419750,4545700
2006-09-01,60.950001,63.270000,57.880001,61.480000,51.278854,3457800
2006-10-01,61.250000,64.669998,59.599998,60.880001,50.819569,6155000
2006-11-01,61.500000,64.459999,59.180000,62.880001,52.489075,7141500
2006-12-01,62.880001,64.080002,60.400002,61.009998,50.928085,4991300
2007-01-01,61.689999,63.099998,59.099998,60.810001,50.769356,2595300
2007-02-01,61.000000,64.330002,60.580002,61.880001,51.662697,3455600
2007-03-01,60.400002,62.520000,59.560001,60.299999,50.343575,2498800
2007-04-01,60.689999,65.949997,59.820000,63.970001,53.463844,2167100
2007-05-01,64.099998,66.599998,62.889999,64.510002,53.915142,2760300
2007-06-01,64.940002,67.599998,62.610001,65.830002,55.018364,2131100
2007-07-01,66.430000,71.250000,65.639999,65.860001,55.119846,2894900
2007-08-01,66.309998,67.440002,60.919998,66.760002,55.873085,7496000
2007-09-01,66.900002,68.610001,64.779999,67.480003,56.475700,2772900
2007-10-01,67.879997,69.500000,62.410000,64.650002,54.171795,4075900
2007-11-01,64.410004,64.690002,56.380001,59.139999,49.554848,5960300
2007-12-01,59.270000,62.439999,58.380001,59.410000,49.781078,4161900
2008-01-01,59.340000,59.669998,46.500000,51.209999,42.962524,3663000
2008-02-01,51.599998,54.000000,48.299999,50.189999,42.106796,4827400
2008-03-01,50.180000,52.080002,47.060001,49.560001,41.578270,5676000
2008-04-01,50.090000,55.200001,49.220001,53.389999,44.791428,8457400
2008-05-01,53.349998,59.939999,53.349998,57.919998,48.591862,6043100
2008-06-01,57.790001,58.419998,50.970001,51.200001,42.954144,6274100
2008-07-01,50.700001,51.439999,45.459999,46.990002,39.524326,14323600
2008-08-01,46.930000,52.299999,45.930000,49.060001,41.265461,5079400
2008-09-01,49.820000,50.080002,38.400002,40.540001,34.099094,7731000
2008-10-01,40.919998,40.919998,27.080000,33.389999,28.085060,6884600
2008-11-01,33.759998,34.650002,22.900000,27.070000,22.769176,1899400
