Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,3.030000,3.030000,2.395000,2.590000,2.053627,7640000
1996-02-01,2.590000,3.800000,2.600000,3.065000,2.430258,22741000
1996-03-01,3.065000,3.310000,2.900000,3.245000,2.572981,11331000
1996-04-01,3.245000,4.100000,3.240000,3.545000,2.810853,46253000
1996-05-01,3.545000,3.775000,3.200000,3.415000,2.707774,28875000
1996-06-01,3.415000,4.170000,3.375000,3.990000,3.163696,87075000
1996-07-01,4.010000,4.025000,3.290000,3.520000,2.791030,104786000
1996-08-01,3.550000,3.800000,3.325000,3.685000,2.921859,18714000
1996-09-01,3.700000,3.800000,3.510000,3.580000,2.838604,14403000
1996-10-01,3.580000,4.000000,3.305000,3.770000,2.989256,13596000
1996-11-01,3.750000,4.000000,3.605000,3.800000,3.013045,8787000
1996-12-01,3.800000,4.195000,3.685000,3.920000,3.108193,7623000
1997-01-01,4.140000,5.275000,4.050000,4.605000,3.651333,36376000
1997-02-01,4.515000,4.955000,4.380000,4.845000,3.841631,21085000
1997-03-01,5.225000,5.680000,4.500000,4.520000,3.583935,38195000
1997-04-01,4.500000,6.025000,4.350000,5.820000,4.614715,41008000
1997-05-01,5.820000,6.575000,5.390000,5.660000,4.487849,66962000
1997-06-01,5.700000,6.585000,5.700000,6.250000,4.955664,92902000
1997-07-01,6.300000,7.590000,6.225000,7.405000,5.946565,90191000
1997-08-01,7.415000,7.750000,6.265000,6.860000,5.508904,28090000
1997-09-01,6.900000,7.490000,6.610000,7.270000,5.838153,22124000
1997-10-01,7.000000,8.825000,6.890000,8.110000,6.512712,57297000
1997-11-01,8.170000,8.170000,6.710000,7.095000,5.697621,16520000
1997-12-01,7.010000,8.490000,6.850000,8.050000,6.464531,19267000
1998-01-01,7.950000,8.395000,7.000000,7.240000,5.814063,25855000
1998-02-01,7.325000,7.335000,6.150000,7.095000,5.697621,41889000
1998-03-01,7.175000,7.690000,6.800000,7.030000,5.645422,31853000
1998-04-01,6.975000,8.610000,6.975000,7.680000,6.167403,51257000
1998-05-01,7.680000,7.900000,6.650000,6.945000,5.577164,33093000
1998-06-01,6.980000,7.120000,5.525000,6.525000,5.239884,33678000
1998-07-01,6.275000,7.205000,5.625000,6.380000,5.205091,22545000
1998-08-01,6.300000,6.440000,5.570000,5.780000,4.715583,35024000
1998-09-01,5.655000,7.280000,5.615000,6.485000,5.290754,27502000
1998-10-01,6.485000,6.485000,5.060000,5.325000,4.344374,13645000
1998-11-01,5.275000,5.940000,4.800000,5.115000,4.173048,17986000
1998-12-01,5.140000,5.800000,5.035000,5.475000,4.466750,13926000
1999-01-01,5.520000,6.785000,5.310000,6.070000,4.952178,31742000
1999-02-01,5.935000,6.000000,4.915000,5.025000,4.099621,13452000
1999-03-01,5.100000,7.045000,5.000000,6.955000,5.674201,81766910
1999-04-01,7.050000,7.050000,5.850000,6.480000,5.286674,27635950
1999-05-01,6.500000,8.535000,6.305000,8.110000,6.740980,35190230
1999-06-01,7.925000,8.050000,7.200000,7.425000,6.171613,10627610
1999-07-01,7.460000,9.090000,7.310000,8.500000,7.065145,33013040
1999-08-01,8.490000,9.495000,7.660000,8.605000,7.152422,25236970
1999-09-01,8.790000,10.690000,8.400000,10.235000,8.507266,33224660
1999-10-01,9.900000,10.695000,8.800000,9.270000,7.705164,37331450
1999-11-01,9.020000,11.540000,8.900000,11.540000,9.591973,19238360
1999-12-01,12.300000,19.160000,11.295000,15.740000,13.082986,98540250
2000-01-01,16.600000,24.615000,15.700000,23.775000,19.761631,48746420
2000-02-01,23.600000,26.200001,20.950001,21.680000,18.020281,46201740
2000-03-01,21.799999,29.500000,21.799999,25.719999,21.378300,26200420
