,Date,Open,High,Low,Close,Adj Close,Volume
df_1,1972-01-01,0.0,104.29000091552734,100.87000274658203,103.47000122070312,103.47000122070312,87350000
df_1,1972-01-08,0.0,104.66000366210938,102.29000091552734,103.38999938964844,103.38999938964844,85630000
df_1,1972-01-15,0.0,105.0,102.75,103.6500015258789,103.6500015258789,94750000
df_1,1972-01-22,0.0,104.9800033569336,101.62999725341797,104.16000366210938,104.16000366210938,93510000
df_1,1972-01-29,0.0,105.4800033569336,103.0999984741211,104.86000061035156,104.86000061035156,99690000
df_1,1972-02-05,0.0,106.69000244140625,103.9000015258789,105.08000183105469,105.08000183105469,95480000
df_1,1972-02-12,0.0,106.6500015258789,104.02999877929688,105.27999877929688,105.27999877929688,93200000
df_1,1972-02-19,0.0,106.7300033569336,104.6500015258789,106.18000030517578,106.18000030517578,67620000
df_1,1972-02-26,0.0,108.51000213623047,105.37000274658203,107.94000244140625,107.94000244140625,104810000
df_1,1972-03-04,0.0,109.75,107.63999938964844,108.37999725341797,108.37999725341797,106080000
df_1,1972-03-11,0.0,108.61000061035156,106.55000305175781,107.91999816894531,107.91999816894531,91300000
df_1,1972-03-18,0.0,108.80999755859375,105.86000061035156,107.5199966430664,107.5199966430664,84200000
df_1,1972-03-25,0.0,108.08000183105469,105.9800033569336,107.19999694824219,107.19999694824219,55780000
df_1,1972-04-01,0.0,110.29000091552734,106.75,109.62000274658203,109.62000274658203,98790000
df_1,1972-04-08,0.0,111.11000061035156,108.76000213623047,109.83999633789062,109.83999633789062,99540000
df_1,1972-04-15,0.0,110.63999938964844,108.08000183105469,108.88999938964844,108.88999938964844,90370000
df_1,1972-04-22,0.0,109.19000244140625,106.18000030517578,107.66999816894531,107.66999816894531,79290000
df_1,1972-04-29,0.0,108.0,105.13999938964844,106.62999725341797,106.62999725341797,72150000
df_1,1972-05-06,0.0,107.0199966430664,103.83000183105469,106.37999725341797,106.37999725341797,71920000
df_1,1972-05-13,0.0,109.58999633789062,106.0199966430664,108.9800033569336,108.9800033569336,78220000
df_1,1972-05-20,0.0,111.30999755859375,108.79000091552734,110.66000366210938,110.66000366210938,82520000
df_1,1972-05-27,0.0,111.4800033569336,108.91999816894531,109.7300033569336,109.7300033569336,61350000
df_1,1972-06-03,0.0,109.91999816894531,106.30000305175781,106.86000061035156,106.86000061035156,71260000
df_1,1972-06-10,0.0,109.5199966430664,106.29000091552734,108.36000061035156,108.36000061035156,77370000
df_1,1972-06-17,0.0,109.66000366210938,107.37000274658203,108.2699966430664,108.2699966430664,69490000
df_1,1972-06-24,0.0,108.29000091552734,105.94000244140625,107.13999938964844,107.13999938964844,66080000
df_1,1972-07-01,0.0,110.2699966430664,106.72000122070312,108.69000244140625,108.69000244140625,55270000
df_1,1972-07-08,0.0,109.16000366210938,105.62000274658203,106.80000305175781,106.80000305175781,69330000
df_1,1972-07-15,0.0,107.37000274658203,104.43000030517578,106.66000366210938,106.66000366210938,76930000
df_1,1972-07-22,0.0,108.87999725341797,106.5199966430664,107.37999725341797,107.37999725341797,76250000
